pilot_name,pilot_country,pilot_serve,air_vic,oth_air_vic,notes,mia_or_kia
Wolf-Udo Ettel †,Germany,Luftwaffe,124,NA,NA,"KIA, MIA, Died of wounds"
Herbert Ihlefeld,Germany,Luftwaffe,123,+9 in Spanish Civil War,NA,Lived
Wolfgang Tonne †,Germany,Luftwaffe,122,NA,NA,"KIA, MIA, Died of wounds"
Heinz Marquardt,Germany,Luftwaffe,121,NA,NA,Lived
Heinz-Wolfgang Schnaufer,Germany,Luftwaffe,121,NA,Top night fighter ace. Ace in a day,Lived
Robert Weiß †,Germany,Luftwaffe,121,NA,NA,"KIA, MIA, Died of wounds"
Friedrich Obleser,Germany,Luftwaffe,120,NA,NA,Lived
Friedrich Wachowiak †,Germany,Luftwaffe,120,NA,NA,"KIA, MIA, Died of wounds"
Erich Leie †,Germany,Luftwaffe,118,NA,NA,"KIA, MIA, Died of wounds"
Franz-Josef Beerenbrock,Germany,Luftwaffe,117,NA,NA,Lived
Hans-Joachim Birkner †,Germany,Luftwaffe,117,NA,NA,"KIA, MIA, Died of wounds"
Jakob Norz †,Germany,Luftwaffe,117,NA,NA,"KIA, MIA, Died of wounds"
Walter Oesau †,Germany,Luftwaffe,117,NA,NA,"KIA, MIA, Died of wounds"
Heinz Wernicke †,Germany,Luftwaffe,117,NA,NA,"KIA, MIA, Died of wounds"
August Lambert †,Germany,Luftwaffe,116,NA,Triple-Ace in a Day,"KIA, MIA, Died of wounds"
Wilhelm Crinius,Germany,Luftwaffe,114,NA,NA,Lived
Werner Schröer,Germany,Luftwaffe,114,NA,NA,Lived
Hans Dammers †,Germany,Luftwaffe,113,NA,NA,"KIA, MIA, Died of wounds"
Berthold Korts †,Germany,Luftwaffe,113,NA,NA,"KIA, MIA, Died of wounds"
Kurt Bühligen,Germany,Luftwaffe,112,NA,NA,Lived
Helmut Lent †,Germany,Luftwaffe,110,NA,Night fighter ace,"KIA, MIA, Died of wounds"
Kurt Ubben †,Germany,Luftwaffe,110,NA,NA,"KIA, MIA, Died of wounds"
Franz Woidich,Germany,Luftwaffe,110,NA,NA,Lived
Emil Bitsch †,Germany,Luftwaffe,108,NA,NA,"KIA, MIA, Died of wounds"
Hans Hahn,Germany,Luftwaffe,108,NA,NA,Lived
Bernhard Vechtel,Germany,Luftwaffe,108,NA,NA,Lived
Viktor Bauer,Germany,Luftwaffe,106,NA,NA,Lived
Werner Lucas †,Germany,Luftwaffe,106,NA,NA,"KIA, MIA, Died of wounds"
Günther Lützow †,Germany,Luftwaffe,105,NA,NA,"KIA, MIA, Died of wounds"
Adolf Galland,Germany,Luftwaffe,104,NA,Jet ace with 7 victories in Me 262,Lived
Eberhard von Boremski,Germany,Luftwaffe,104,NA,NA,Lived
Heinz Sachsenberg,Germany,Luftwaffe,104,NA,NA,Lived
Hartmann Grasser,Germany,Luftwaffe,103,NA,NA,Lived
Siegfried Freytag,Germany,Luftwaffe,102,NA,NA,Lived
Friedrich Geisshardt †,Germany,Luftwaffe,102,NA,NA,"KIA, MIA, Died of wounds"
Egon Mayer †,Germany,Luftwaffe,102,NA,NA,"KIA, MIA, Died of wounds"
Max-Hellmuth Ostermann †,Germany,Luftwaffe,102,NA,NA,"KIA, MIA, Died of wounds"
Josef Wurmheller †,Germany,Luftwaffe,102,NA,NA,"KIA, MIA, Died of wounds"
Werner Mölders †,Germany,Luftwaffe,101,+14 in Spanish Civil War,First ever pilot with 100 victories,"KIA, MIA, Died of wounds"
Rudolf Miethig †,Germany,Luftwaffe,101,NA,NA,"KIA, MIA, Died of wounds"
Josef Priller,Germany,Luftwaffe,101,NA,NA,Lived
Ulrich Wernitz,Germany,Luftwaffe,101,NA,NA,Lived
Reinhard Seiler,Germany,Luftwaffe,100,NA,NA,Lived
Paul-Heinrich Dähne †,Germany,Luftwaffe,99,NA,NA,"KIA, MIA, Died of wounds"
Leopold Steinbatz,Germany,Luftwaffe,99,NA,NA,Lived
Wolfgang Späte,Germany,Luftwaffe,99,NA,Jet ace with 5 victories in Me 262,Lived
Heinrich Bartels †,Germany,Luftwaffe,99,NA,NA,"KIA, MIA, Died of wounds"
Hans Schleef †,Germany,Luftwaffe,99,NA,NA,"KIA, MIA, Died of wounds"
Horst Hannig †,Germany,Luftwaffe,98,NA,NA,"KIA, MIA, Died of wounds"
Gustav Rödel,Germany,Luftwaffe,98,NA,NA,Lived
Helmut Rüffler,Germany,Luftwaffe,98,NA,NA,Lived
Helmut Mertens,Germany,Luftwaffe,97,NA,NA,Lived
Hermann Schleinhege,Germany,Luftwaffe,97,NA,NA,Lived
Diethelm von Eichel-Streiber,Germany,Luftwaffe,96,NA,NA,Lived
Heinrich Höfemeier †,Germany,Luftwaffe,96,NA,NA,"KIA, MIA, Died of wounds"
Siegfried Lemke,Germany,Luftwaffe,96,NA,NA,Lived
Leopold Münster †,Germany,Luftwaffe,95,NA,NA,"KIA, MIA, Died of wounds"
Ilmari Juutilainen,Finland,Finnish Air Force,94,NA,Top non-German ace. Claimed 126 victories. Ace in a day.,Lived
Rudolf Müller †,Germany,Luftwaffe,94,NA,possibly 101,"KIA, MIA, Died of wounds"
Rudolf Resch †,Germany,Luftwaffe,93,+1 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Heinrich Klöpper †,Germany,Luftwaffe,93,NA,NA,"KIA, MIA, Died of wounds"
Helmut Bennemann,Germany,Luftwaffe,93,NA,NA,Lived
Edmund Roßmann,Germany,Luftwaffe,93,NA,NA,Lived
Siegfried Schnell †,Germany,Luftwaffe,93,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Loos †,Germany,Luftwaffe,92,NA,NA,"KIA, MIA, Died of wounds"
Oskar Romm,Germany,Luftwaffe,92,NA,NA,Lived
Anton Resch,Germany,Luftwaffe,91,NA,NA,Lived
Georg Schentke †,Germany,Luftwaffe,91,NA,NA,"KIA, MIA, Died of wounds"
Heinz Kemethmüller,Germany,Luftwaffe,89,NA,NA,Lived
Josef Jennewein †,Germany,Luftwaffe,86,NA,NA,"KIA, MIA, Died of wounds"
Anton Mader,Germany,Luftwaffe,86,NA,NA,Lived
Ulrich Wöhnert,Germany,Luftwaffe,86,NA,NA,Lived
Gerhard Köppen †,Germany,Luftwaffe,85,NA,NA,"KIA, MIA, Died of wounds"
Walter Zellot †,Germany,Luftwaffe,85,NA,NA,"KIA, MIA, Died of wounds"
Heinz Ewald,Germany,Luftwaffe,84,NA,NA,Lived
Peter Kalden,Germany,Luftwaffe,84,NA,NA,Lived
Werner Quast,Germany,Luftwaffe,84,NA,NA,Lived
Heinrich Prinz zu Sayn-Wittgenstein †,Germany,Luftwaffe,83,NA,NA,"KIA, MIA, Died of wounds"
Otto Weßling †,Germany,Luftwaffe,83,NA,NA,"KIA, MIA, Died of wounds"
Hans Grünberg,Germany,Luftwaffe,82,NA,Jet ace with 5 victories in Me 262,Lived
Emil Darjes,Germany,Luftwaffe,82,NA,NA,Lived
Hans Götz †,Germany,Luftwaffe,82,NA,NA,"KIA, MIA, Died of wounds"
Helmut Missner,Germany,Luftwaffe,82,NA,NA,Lived
Franz Beyer †,Germany,Luftwaffe,81,NA,NA,"KIA, MIA, Died of wounds"
Hugo Broch,Germany,Luftwaffe,81,NA,NA,Lived
Willi Nemitz †,Germany,Luftwaffe,81,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Philipp,Germany,Luftwaffe,81,NA,NA,Lived
Rudolf Wagner,Germany,Luftwaffe,81,NA,NA,Lived
Tetsuzo Iwamoto,Japan,Imperial Japanese Navy,80,+14 early in Second Sino-Japanese War,Claimed 200+ victories,Lived
Herbert Bachnick †,Germany,Luftwaffe,80,NA,NA,"KIA, MIA, Died of wounds"
Otto Würfel,Germany,Luftwaffe,79,NA,NA,Lived
Georg-Peter Eder,Germany,Luftwaffe,78,NA,Jet ace with 12 victories in Me 262,Lived
Wolfgang Ewald,Germany,Luftwaffe,78,NA,NA,Lived
Heinrich Krafft †,Germany,Luftwaffe,78,NA,NA,"KIA, MIA, Died of wounds"
Max-Hermann Lücke †,Germany,Luftwaffe,78,NA,NA,"KIA, MIA, Died of wounds"
Johann-Hermann Meier †,Germany,Luftwaffe,78,NA,NA,"KIA, MIA, Died of wounds"
Karl-Gottfried Nordmann,Germany,Luftwaffe,78,NA,NA,Lived
Alexander Preinfalk †,Germany,Luftwaffe,78,NA,NA,"KIA, MIA, Died of wounds"
Hubertus von Bonin †,Germany,Luftwaffe,77,+4 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Josef Haiböck,Germany,Luftwaffe,77,NA,NA,Lived
Walter Ohlrogge,Germany,Luftwaffe,77,NA,NA,Lived
Hans-Joachim Kroschinski,Germany,Luftwaffe,76,NA,NA,Lived
Maximilian Mayerl,Germany,Luftwaffe,76,NA,NA,Lived
Alfred Teumer †,Germany,Luftwaffe,76,NA,NA,"KIA, MIA, Died of wounds"
Edwin Thiel †,Germany,Luftwaffe,76,NA,NA,"KIA, MIA, Died of wounds"
Hans Wind,Finland,Finnish Air Force,75,NA,Double-Ace in a day.,Lived
Johannes Bunzek †,Germany,Luftwaffe,75,NA,NA,"KIA, MIA, Died of wounds"
Gustav Frielinghaus,Germany,Luftwaffe,75,NA,NA,Lived
Helmuth Grollmus,Germany,Luftwaffe,75,NA,NA,Lived
Johann Pichler,Germany,Luftwaffe,75,NA,NA,Lived
Hans Röhrig †,Germany,Luftwaffe,75,NA,NA,"KIA, MIA, Died of wounds"
Waldemar Semelka †,Germany,Luftwaffe,75,NA,NA,"KIA, MIA, Died of wounds"
Joachim Wandel †,Germany,Luftwaffe,75,NA,NA,"KIA, MIA, Died of wounds"
Otto Gaiser †,Germany,Luftwaffe,74,NA,NA,"KIA, MIA, Died of wounds"
Friedrich Haas,Germany,Luftwaffe,74,NA,NA,Lived
Karl-Heinz Meltzer †,Germany,Luftwaffe,74,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Herget,Germany,Luftwaffe,73,NA,NA,Lived
Anton Lindner,Germany,Luftwaffe,73,NA,NA,Lived
Gerhard Michalski,Germany,Luftwaffe,73,NA,NA,Lived
Otto Schultz,Germany,Luftwaffe,73,NA,NA,Lived
Shigeo Fukumoto,Japan,Imperial Japanese Navy,72,NA,NA,Lived
Klaus Mietusch †,Germany,Luftwaffe,72,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Mink †,Germany,Luftwaffe,72,NA,NA,"KIA, MIA, Died of wounds"
Karl Heinz Schnell,Germany,Luftwaffe,72,NA,NA,Lived
Hans Fuß †,Germany,Luftwaffe,71,NA,NA,"KIA, MIA, Died of wounds"
Adolf Glunz,Germany,Luftwaffe,71,NA,NA,Lived
Alfred Heckmann,Germany,Luftwaffe,71,NA,NA,Lived
Herbert Rollwage,Germany,Luftwaffe,71,NA,NA,Lived
Günther Scheel †,Germany,Luftwaffe,71,NA,NA,"KIA, MIA, Died of wounds"
Shoichi Sugita,Japan,Imperial Japanese Navy,70,NA,+40 shared,Lived
Karl Hoffmann,Germany,Luftwaffe,70,NA,NA,Lived
Hermann-Friedrich Joppien †,Germany,Luftwaffe,70,NA,NA,"KIA, MIA, Died of wounds"
Heinz Lange,Germany,Luftwaffe,70,NA,NA,Lived
Rudi Linz †,Germany,Luftwaffe,70,NA,NA,"KIA, MIA, Died of wounds"
Emil Omert †,Germany,Luftwaffe,70,NA,NA,"KIA, MIA, Died of wounds"
Lutz-Wilhelm Burckhardt,Germany,Luftwaffe,69,NA,NA,Lived
Armin Köhler,Germany,Luftwaffe,69,NA,NA,Lived
Ernst Weismann,Germany,Luftwaffe,69,NA,NA,Lived
Eugen-Ludwig Zweigart †,Germany,Luftwaffe,69,NA,NA,"KIA, MIA, Died of wounds"
Constantin Cantacuzino,Romania,Royal Romanian Air Force,69,NA,Top Romanian ace,Lived
Kurt Dombacher,Germany,Luftwaffe,68,NA,NA,Lived
Walter Höckner,Germany,Luftwaffe,68,NA,NA,Lived
Herbert Huppertz †,Germany,Luftwaffe,68,NA,NA,"KIA, MIA, Died of wounds"
Heinrich Jung,Germany,Luftwaffe,68,NA,NA,Lived
Herbert Kaiser,Germany,Luftwaffe,68,NA,NA,Lived
Richard Leppla,Germany,Luftwaffe,68,NA,NA,Lived
Fritz Losigkeit,Germany,Luftwaffe,68,NA,NA,Lived
Günther Freiherr von Maltzahn,Germany,Luftwaffe,68,NA,NA,Lived
Hans Strelow †,Germany,Luftwaffe,68,NA,NA,"KIA, MIA, Died of wounds"
Ernst Süß †,Germany,Luftwaffe,68,NA,NA,"KIA, MIA, Died of wounds"
Otto Tange †,Germany,Luftwaffe,68,NA,NA,"KIA, MIA, Died of wounds"
Fritz Dinger †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Herbert Findeisen,Germany,Luftwaffe,67,NA,NA,Lived
Karl Fuchs,Germany,Luftwaffe,67,NA,NA,Lived
Heinrich Füllgrabe †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Karl Hammerl,Germany,Luftwaffe,67,NA,NA,Lived
Reinhold Hoffmann †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Erbo Graf von Kageneck †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Franz Schieß †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Franz Schwaiger †,Germany,Luftwaffe,67,NA,NA,"KIA, MIA, Died of wounds"
Hubert Strassl †,Germany,Luftwaffe,67,NA,Triple-Ace in a Day,"KIA, MIA, Died of wounds"
Erwin Fleig,Germany,Luftwaffe,66,NA,NA,Lived
Werner Streib,Germany,Luftwaffe,66,NA,Night fighter ace,Lived
Berthold Graßmuck †,Germany,Luftwaffe,65,NA,NA,"KIA, MIA, Died of wounds"
Karl Kempf †,Germany,Luftwaffe,65,NA,NA,"KIA, MIA, Died of wounds"
Manfred Meurer †,Germany,Luftwaffe,65,NA,NA,"KIA, MIA, Died of wounds"
Ivan Kozhedub,Soviet Union,Soviet Air Force,66,+2 US planes that mistakenly attacked him,Highest-scoring Allied ace in WWII,Lived
Bernd Gallowitsch,Germany,Luftwaffe,64,NA,NA,Lived
Jürgen Harder †,Germany,Luftwaffe,64,NA,NA,"KIA, MIA, Died of wounds"
Rolf Hermichen,Germany,Luftwaffe,64,NA,NA,Lived
Walter Lindner,Germany,Luftwaffe,64,NA,NA,Lived
Viktor Petermann,Germany,Luftwaffe,64,NA,NA,Lived
Erhard Peters,Germany,Luftwaffe,64,NA,NA,Lived
Günther Radusch,Germany,Luftwaffe,64,NA,NA,Lived
Heinz Rökker,Germany,Luftwaffe,64,NA,NA,Lived
Rudolf Schoenert,Germany,Luftwaffe,64,NA,NA,Lived
Franz Götz,Germany,Luftwaffe,63,NA,NA,Lived
Heinrich Hoffmann †,Germany,Luftwaffe,63,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Homuth †,Germany,Luftwaffe,63,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Schilling,Germany,Luftwaffe,63,NA,NA,Lived
Hermann Staiger,Germany,Luftwaffe,63,NA,NA,Lived
Kurt Welter,Germany,Luftwaffe,63,NA,Jet ace with 20+ claimed in Me 262; 56 as night fighter; possibly all time jet ace,Lived
Heino Cordes,Germany,Luftwaffe,62,NA,NA,Lived
Wilhelm Hübner,Germany,Luftwaffe,62,NA,NA,Lived
Helmut Neumann,Germany,Luftwaffe,62,NA,NA,Lived
Gerhard Beutin,Germany,Luftwaffe,60,NA,NA,Lived
Hans-Ekkehard Bob,Germany,Luftwaffe,60,NA,NA,Lived
Horst Carganico †,Germany,Luftwaffe,60,NA,NA,"KIA, MIA, Died of wounds"
Franz Czech,Germany,Luftwaffe,60,NA,NA,Lived
Alfred Franke †,Germany,Luftwaffe,60,NA,NA,"KIA, MIA, Died of wounds"
Franz Hrdlicka †,Germany,Luftwaffe,60,NA,NA,"KIA, MIA, Died of wounds"
Kurt Kelter,Germany,Luftwaffe,60,NA,NA,Lived
August Mors †,Germany,Luftwaffe,60,NA,NA,"KIA, MIA, Died of wounds"
Karl Munz,Germany,Luftwaffe,60,NA,NA,Lived
Alfred Rauch,Germany,Luftwaffe,60,NA,NA,Lived
Aleksandr Ivanovich Pokryshkin,Soviet Union,Soviet Air Force,59,+8 prior to Soviets officially in WWII,NA,Lived
Hans-Arnold Stahlschmidt †,Germany,Luftwaffe,59,NA,NA,"KIA, MIA, Died of wounds"
Walter Borchers †,Germany,Luftwaffe,59,NA,NA,"KIA, MIA, Died of wounds"
Franz Eckerle †,Germany,Luftwaffe,59,NA,NA,"KIA, MIA, Died of wounds"
Karl Steffen,Germany,Luftwaffe,59,NA,NA,Lived
Paul Zorner,Germany,Luftwaffe,59,NA,NA,Lived
Hermann Buchner,Germany,Luftwaffe,58,NA,Jet ace with 12 victories in Me 262,Lived
Martin Becker,Germany,Luftwaffe,58,NA,NA,Lived
Herbert Broennle †,Germany,Luftwaffe,58,NA,NA,"KIA, MIA, Died of wounds"
Siegfried Engfer,Germany,Luftwaffe,58,NA,NA,Lived
Herbert Friebel,Germany,Luftwaffe,58,NA,NA,Lived
Wilhelm Freuwörth,Germany,Luftwaffe,58,NA,NA,Lived
Gerhard Raht,Germany,Luftwaffe,58,NA,NA,Lived
Hannes Trautloft,Germany,Luftwaffe,58,NA,NA,Lived
Hiromichi Shinohara †,Japan,Imperial Japanese Army,58,NA,NA,"KIA, MIA, Died of wounds"
Grigoriy Andreevich Rechkalov,Soviet Union,Soviet Air Force,58,NA,NA,Lived
Nikolay Dmitrievich Gulayev,Soviet Union,Soviet Air Force,57,NA,NA,Lived
Heinrich-Wilhelm Ahnert †,Germany,Luftwaffe,57,NA,NA,"KIA, MIA, Died of wounds"
Konrad Bauer,Germany,Luftwaffe,57,NA,NA,Lived
Walter Brandt,Germany,Luftwaffe,57,NA,NA,Lived
Hugo Dahmer,Germany,Luftwaffe,57,NA,NA,Lived
Kurt Ebener,Germany,Luftwaffe,57,NA,NA,Lived
Adolf Kalkum,Germany,Luftwaffe,57,NA,NA,Lived
Herbert Puschmann †,Germany,Luftwaffe,57,NA,NA,"KIA, MIA, Died of wounds"
Johannes Seifert †,Germany,Luftwaffe,57,NA,NA,"KIA, MIA, Died of wounds"
Hermann Wolf,Germany,Luftwaffe,57,NA,NA,Lived
Manfred Eberwein,Germany,Luftwaffe,56,NA,NA,Lived
Gustav Francsi,Germany,Luftwaffe,56,NA,NA,Lived
Horst Haase,Germany,Luftwaffe,56,NA,NA,Lived
Heinz Hackler †,Germany,Luftwaffe,56,NA,NA,"KIA, MIA, Died of wounds"
Erich Hohagen,Germany,Luftwaffe,56,NA,NA,Lived
Helmuth Holtz,Germany,Luftwaffe,56,NA,NA,Lived
Eduard Isken,Germany,Luftwaffe,56,NA,NA,Lived
Kurt Knappe †,Germany,Luftwaffe,56,NA,NA,"KIA, MIA, Died of wounds"
Josef Kraft,Germany,Luftwaffe,56,NA,NA,Lived
Helmut Schönfelder,Germany,Luftwaffe,56,NA,NA,Lived
Günther Seeger,Germany,Luftwaffe,56,NA,NA,Lived
Heinz Strüning †,Germany,Luftwaffe,56,NA,NA,"KIA, MIA, Died of wounds"
Edmund Wagner †,Germany,Luftwaffe,56,NA,NA,"KIA, MIA, Died of wounds"
Helmut Wick †,Germany,Luftwaffe,56,NA,NA,"KIA, MIA, Died of wounds"
Eino Luukkanen,Finland,Finnish Air Force,56,NA,NA,Lived
Karl-Heinz Bendert,Germany,Luftwaffe,55,NA,NA,Lived
Wilhelm-Ferdinand Galland †,Germany,Luftwaffe,55,NA,NA,"KIA, MIA, Died of wounds"
Herbert Bareuther †,Germany,Luftwaffe,55,NA,NA,"KIA, MIA, Died of wounds"
Hans-Dieter Frank,Germany,Luftwaffe,55,NA,NA,Lived
Gabriel Tautscher,Germany,Luftwaffe,55,NA,NA,Lived
Takeo Okumura †,Japan,Imperial Japanese Navy,54,NA,NA,"KIA, MIA, Died of wounds"
Johann Badum †,Germany,Luftwaffe,54,NA,NA,"KIA, MIA, Died of wounds"
Hans Ehlers †,Germany,Luftwaffe,54,NA,NA,"KIA, MIA, Died of wounds"
August Geiger †,Germany,Luftwaffe,54,NA,NA,"KIA, MIA, Died of wounds"
Wilhelm Hauswirth,Germany,Luftwaffe,54,NA,NA,Lived
Heinz Leber,Germany,Luftwaffe,54,NA,NA,Lived
Siegfried Simsch †,Germany,Luftwaffe,54,NA,NA,"KIA, MIA, Died of wounds"
Heinz Vinke †,Germany,Luftwaffe,54,NA,NA,"KIA, MIA, Died of wounds"
Kirill A. Yevstigneyev,Soviet Union,Soviet Air Force,53,NA,NA,Lived
Albert Brunner †,Germany,Luftwaffe,53,NA,NA,"KIA, MIA, Died of wounds"
Heinz-Edgar Berres †,Germany,Luftwaffe,53,NA,NA,"KIA, MIA, Died of wounds"
Hans-Joachim Heyer †,Germany,Luftwaffe,53,NA,NA,"KIA, MIA, Died of wounds"
Willy Kientsch †,Germany,Luftwaffe,53,NA,NA,"KIA, MIA, Died of wounds"
Carl Sattig,Germany,Luftwaffe,53,NA,NA,Lived
Julius Meimberg,Germany,Luftwaffe,53,NA,NA,Lived
Franz Barten †,Germany,Luftwaffe,52,NA,NA,"KIA, MIA, Died of wounds"
Martin Drewes,Germany,Luftwaffe,52,NA,NA,Lived
Alfred Gross,Germany,Luftwaffe,52,NA,NA,Lived
Ludwig Häfner †,Germany,Luftwaffe,52,NA,NA,"KIA, MIA, Died of wounds"
Heinz Knoke,Germany,Luftwaffe,52,NA,NA,Lived
Rudolf Pflanz †,Germany,Luftwaffe,52,NA,NA,"KIA, MIA, Died of wounds"
Friedrich Rupp †,Germany,Luftwaffe,52,NA,NA,"KIA, MIA, Died of wounds"
Heinrich Wefers,Germany,Luftwaffe,52,NA,NA,Lived
Hermann Greiner,Germany,Luftwaffe,51,NA,NA,Lived
Werner Hoffmann,Germany,Luftwaffe,51,NA,Night fighter,Lived
Egmont Prinz zur Lippe-Weißenfeld †,Germany,Luftwaffe,51,NA,NA,"KIA, MIA, Died of wounds"
Fritz Lüddecke †,Germany,Luftwaffe,51,NA,NA,"KIA, MIA, Died of wounds"
